Leaf number,Chlorophyll a (ug/ml),Chlorophyll b (ug/ml),Total Chlorophyll (ug/ml),Chlorophyll a (ug/ml) STDEV,Chlorophyll b (ug/ml) STDEV,Total Chlorophyll (ug/ml) STDEV
Leaf: 1,0.270691207,0.085988829,0.35668003600000003,0.017212536,0.005732519,0.021004776
Leaf: 10,0.427458126,0.12925499099999999,0.556713117,0.026397831,0.015810819,0.040997794
Leaf: 11,0.437354234,0.14550169400000001,0.582855928,0.007820216999999999,0.009584473,0.014427533999999999
Leaf: 12,0.354973045,0.146112721,0.501085766,0.016224475,0.051639240999999995,0.061055437000000004
Leaf: 13,0.31474169399999996,0.097854126,0.41259582,0.021683268,0.013820013,0.034455038
Leaf: 14,0.294213477,0.094143423,0.38835690100000003,0.037687264,0.014335938999999999,0.051963492
Leaf: 15,0.436755171,0.133119712,0.569874883,0.00991359,0.004138928,0.006834176
Leaf: 16,0.495712252,0.166363171,0.662075423,0.014225281000000001,0.0201992,0.027117894
Leaf: 17,0.40965466700000003,0.14678623400000002,0.556440901,0.022883827000000002,0.022875221,0.045537159
Leaf: 18,0.38994587399999997,0.147060036,0.53700591,0.02839517,0.017756564,0.045408826
Leaf: 19,0.203465658,0.056250523,0.25971618,0.01751399,0.005679976,0.01754752
Leaf: 2,0.229680252,0.063844685,0.293524937,0.026617897,0.006863818000000001,0.03027574
Leaf: 20,0.21890064899999997,0.061822485999999996,0.280723135,0.016616093999999998,0.007336139,0.022641451
Leaf: 21,0.451523099,0.14254428800000002,0.5940673870000001,0.015328103999999999,0.022803611,0.02759513
Leaf: 22,0.395272613,0.12233001800000001,0.517602631,0.03315471,0.018394491000000002,0.048812729000000006
Leaf: 23,0.43293798200000005,0.166824577,0.599762559,0.015658558,0.024010325,0.038342287999999995
Leaf: 24,0.571122523,0.19358198199999999,0.764704505,0.011559522,0.007611881,0.016272241
Leaf: 25,0.234857261,0.068349045,0.30320630600000004,0.013073002,0.021676275,0.03366759
Leaf: 26,0.176267532,0.038262775,0.214530306,0.012357715,0.00581863,0.016980838
Leaf: 27,0.344753081,0.10732324300000001,0.452076324,0.015857903,0.006356874,0.019292682
Leaf: 28,0.43767791,0.131288072,0.568965982,0.009338291,0.015849623,0.023905017
Leaf: 29,0.5188588829999999,0.179110775,0.697969658,0.020201022,0.017119828,0.034609747
Leaf: 3,0.455421297,0.14864281099999999,0.604064108,0.03128852,0.011313917,0.04237508
Leaf: 30,0.42657517100000003,0.153834306,0.580409477,0.019225281,0.005309688000000001,0.021074322000000003
Leaf: 31,0.268622847,0.083031928,0.351654775,0.022603025,0.020624994,0.043158955
Leaf: 32,0.230459495,0.06413182,0.294591315,0.00566839,0.00428745,0.006464188
Leaf: 33,0.372408721,0.137123315,0.509532036,0.023376531000000002,0.039237306,0.054360387999999996
Leaf: 34,0.563231568,0.175103135,0.7383347029999999,0.025638487,0.011778681000000001,0.031890777
Leaf: 35,0.467532757,0.17940108100000002,0.6469338379999999,0.015175098,0.024266587000000003,0.036587324
Leaf: 36,0.44446836,0.156657225,0.601125586,0.029553613,0.015188499,0.042908927
Leaf: 37,0.260813802,0.08830969400000001,0.349123495,0.018917093,0.018752497,0.036478772
Leaf: 38,0.224939207,0.071320288,0.296259495,0.01982111,0.019976373000000002,0.038390361
Leaf: 39,0.46035621600000004,0.124955892,0.585312108,0.043344108,0.029616028,0.071050184
Leaf: 4,0.49637729700000005,0.15049643199999999,0.64687373,0.017949121000000002,0.008935954,0.025254508
Leaf: 40,0.465439207,0.133533261,0.5989724679999999,0.011946803999999998,0.015748668,0.024991545
Leaf: 41,0.428089117,0.16043582,0.5885249370000001,0.033518427,0.009606276,0.041166164
Leaf: 42,0.34375502700000005,0.131795459,0.475550486,0.011897851999999999,0.013740378999999999,0.020893791999999998
Leaf: 43,0.19855657699999998,0.055342630999999996,0.253899207,0.011254123000000001,0.021215565,0.031574314
Leaf: 44,0.238288649,0.064378378,0.302667027,0.023839587000000002,0.017192607,0.039442567000000005
Leaf: 45,0.5140119639999999,0.17003358600000001,0.68404555,0.015685276,0.017498663,0.024364548
Leaf: 46,0.524224396,0.171121369,0.695345766,0.020121975,0.022194027999999998,0.039748717
Leaf: 47,0.299632036,0.116484252,0.41611628799999995,0.019202737,0.011004146999999999,0.02498875
Leaf: 48,0.409967135,0.144355459,0.554322595,0.041711288,0.020009168,0.06080019
Leaf: 49,0.248425225,0.077751928,0.326177153,0.017528325,0.017057733000000002,0.034087654
Leaf: 5,0.37390162200000004,0.146896,0.520797622,0.01792598,0.022667119,0.037327645
Leaf: 50,0.252765225,0.08776511699999999,0.34053034200000004,0.013796933999999999,0.014305026,0.02741321
Leaf: 51,0.452299856,0.135165045,0.587464901,0.02540972,0.022229655,0.044050343
Leaf: 52,0.526449514,0.17954205399999998,0.705991568,0.03480407,0.00837276,0.042632184000000004
Leaf: 53,0.38730991,0.154867748,0.542177658,0.049882709000000004,0.018274864,0.060420155999999996
Leaf: 54,0.45869365799999995,0.17564965800000001,0.634343315,0.06621799099999999,0.040228442,0.09396597599999999
Leaf: 55,0.221045441,0.070199712,0.29124515300000003,0.012303544,0.019435038,0.030937662999999997
Leaf: 56,0.207259495,0.054806847,0.262066342,0.013526888999999999,0.002868495,0.015389315
Leaf: 57,0.545427604,0.189630847,0.73505845,0.020503755,0.009996794,0.029240439
Leaf: 58,0.451353225,0.158903063,0.610256288,0.021806062,0.036858478,0.054974832
Leaf: 59,0.467222486,0.230602378,0.697824865,0.030766387000000003,0.052666324,0.083031703
Leaf: 6,0.38977088299999996,0.11868093699999999,0.50845182,0.006998971999999999,0.009626638,0.00878033
Leaf: 60,0.490574775,0.23306191,0.723636685,0.015968861,0.053542655,0.063948403
Leaf: 7,0.286471495,0.09188209,0.378353586,0.025891791,0.01621904,0.035919652
Leaf: 8,0.323399568,0.100342054,0.42374162200000004,0.023742461,0.006345578,0.029271892999999997
Leaf: 9,0.531703679,0.157381571,0.68908525,0.018387406999999998,0.0039386609999999996,0.016570894
