Leaf number,Spot,Leaf weight,Mean leaf weight,Chlorophyll a ,Chlorophyll b,Total Chlorophyll,Chlorophyll a STD,Chlorophyll b STD,Total Chlorophyll STD
1,A,5.1,5.1,0.404531732,0.104992032,0.509523764,0.002851138,0.000795025,0.00256255
2,A,5.4,5.466666667,0.408813193,0.096376256,0.505189449,0.013954992,0.015965053,0.0297446
3,A,6.8,6.033333333,0.660198939,0.176382422,0.836581361,0.046678926,0.022905814,0.068641657
4,A,5.5,5.5,0.514365385,0.095810731,0.610176116,0.006334926,0.072306163,0.067156123
5,A,5.8,5.533333333,0.647514915,0.221217618,0.868732533,0.007506973,0.002065189,0.007449763
6,A,7,6.833333333,0.773390511,0.262676757,1.036067267,0.021466025,0.012027815,0.033489783
7,A,4.8,4.833333333,0.372308148,0.091865626,0.464173774,0.010040687,0.006178106,0.015866183
8,A,5.1,5.266666667,0.364635536,0.108483163,0.473118699,0.005030188,0.008040068,0.010998321
9,A,5.1,4.9,0.706002262,0.19209974,0.898102002,0.023484641,0.010632105,0.034080528
10,A,6.1,6.166666667,0.794552533,0.250095415,1.044647948,0.016236346,0.009737363,0.022434669
11,A,4.9,4.866666667,0.599516016,0.206429109,0.805945125,0.016924942,0.009084053,0.025916941
12,A,6.7,6.7,0.71733996,0.263927167,0.981267127,0.016969817,0.012104124,0.028964646
13,A,5.6,4.866666667,0.085420761,-0.013823383,0.071597377,0.084720501,0.033637443,0.051246289
14,A,4,3.933333333,0.041606126,0.006598198,0.048204324,0.001845984,0.003972339,0.005521071
15,A,5.2,4.966666667,0.336473774,0.07564008,0.412113854,0.002903246,0.002605575,0.004897722
16,A,4.8,4.9,0.360801802,0.086511712,0.447313514,0.004804121,0.00348754,0.008210629
17,A,4.6,5.3,0.724089489,0.223302102,0.947391592,0.025534464,0.006585807,0.030428804
18,A,6.3,5.833333333,0.785237858,0.224535936,1.009773794,0.015785893,0.008595249,0.024379067
19,A,5.4,5.7,0.753110831,0.203418218,0.956529049,0.011246996,0.002727983,0.013812402
20,A,5.8,5.033333333,0.715863483,0.196513754,0.912377237,0.028477532,0.010913166,0.037824485
21,A,4.9,4.933333333,0.747494254,0.228917798,0.976412052,0.024392244,0.008965484,0.033253115
22,A,5.3,5.633333333,0.82595027,0.259064505,1.085014775,0.022471092,0.021876176,0.008570039
23,A,6.3,6.033333333,0.695054855,0.195764164,0.890819019,0.019193755,0.005004032,0.023672438
24,A,6,5.933333333,0.796056957,0.246003564,1.042060521,0.012992293,0.008331448,0.020455458
25,A,4.8,4.133333333,0.037544204,0.005894655,0.043438859,0.00540803,0.006965392,0.01236527
26,A,3.8,4.2,0.033455836,-0.005556236,0.0278996,0.003894345,0.002124639,0.005329733
27,A,4.5,4.9,0.404126507,0.091250651,0.495377157,0.005748882,0.003629862,0.006580617
28,A,5,5,0.378333493,0.081379379,0.459712873,0.002787987,0.003787573,0.006328021
29,A,5.6,5.7,0.695475696,0.175596597,0.871072292,0.029530132,0.006502703,0.035507154
30,A,7,6.033333333,0.810856116,0.220915035,1.031771151,0.00892829,0.009264293,0.018133419
31,A,5.3,5.8,0.805688689,0.228254575,1.033943263,0.013670917,0.00392918,0.01709612
32,A,6.3,6.1,0.682134294,0.168552553,0.850686847,0.003182261,0.007009323,0.006923882
33,A,5.1,5.866666667,0.734733413,0.201020621,0.935754034,0.014808323,0.007193372,0.015426335
34,A,4.9,5.733333333,0.671970851,0.180784304,0.852755155,0.013100668,0.006670573,0.016202558
35,A,5.1,4.933333333,0.670829029,0.218441882,0.889270911,0.049141335,0.020029162,0.029508537
36,A,6.1,6.233333333,0.459191852,0.104533293,0.563725145,0.006913012,0.001775946,0.008560392
37,A,5.1,5.133333333,0.289410771,0.089771852,0.379182623,0.006908652,0.007399082,0.014078163
38,A,5.1,5.266666667,0.405211411,0.099333333,0.504544745,0.008369716,0.003095382,0.009657629
39,A,5.8,5.766666667,0.201201502,0.043789429,0.244990931,0.006628516,0.004480918,0.010785465
40,A,5,4.566666667,0.35837982,0.083632432,0.442012252,0.006242081,0.000537343,0.006545669
41,A,5.3,5.9,0.749008108,0.205631111,0.954639219,0.017827995,0.009269631,0.026966803
42,A,5.6,5.8,0.704017858,0.197326446,0.901344304,0.022141315,0.006713521,0.028756761
43,A,5.6,5.6,0.725805285,0.208840601,0.934645886,0.010260638,0.001675253,0.010113206
44,A,6.2,6.1,0.798571652,0.233866907,1.032438559,0.010474083,0.010479469,0.020756083
45,A,5,4.933333333,0.706365666,0.222503263,0.928868929,0.037328122,0.015042718,0.052293221
46,A,7.3,7.2,0.881278378,0.310216817,1.191495195,0.039643973,0.019941431,0.058632917
47,A,6.4,6.8,0.795070831,0.239194555,1.034265385,0.021008884,0.008425354,0.029340502
48,A,5.9,5.433333333,0.645156997,0.187394114,0.832551111,0.018765188,0.005913386,0.024182292
49,A,4.4,4.566666667,0.117287788,0.033450851,0.150738639,0.008654252,0.005951415,0.014456306
50,A,4.4,4.5,0.135033674,0.038719199,0.173752873,0.004193481,0.003255047,0.006700435
51,A,4.8,4.6,0.154080741,0.043147588,0.197228328,0.001979006,0.00036627,0.002288701
52,A,4.5,4.8,0.14857015,0.041461021,0.190031171,0.004960254,0.000776352,0.005516461
53,A,5.4,5.366666667,0.415047868,0.103011772,0.51805964,0.009045538,0.004541909,0.013565876
54,A,5.1,5,0.461115636,0.111102543,0.572218178,0.009853824,0.002798666,0.012576031
55,A,5.1,5.566666667,0.590181622,0.154661381,0.744843003,0.005264657,0.008766326,0.012958421
56,A,5.8,6.066666667,0.504291852,0.131848248,0.6361401,0.001652897,0.005723805,0.004733162
57,A,6.5,6.133333333,0.85256993,0.269930891,1.122500821,0.0155653,0.001658506,0.014039286
58,A,6.4,6.166666667,0.847424164,0.255567047,1.102991211,0.008189488,0.010091598,0.016318997
59,A,6,6.3,0.725704324,0.20647003,0.932174354,0.01312286,0.008583798,0.021188755
60,A,4.8,5.033333333,0.667024484,0.211651932,0.878676416,0.012207931,0.0022116,0.014249758
61,A,4.8,5.033333333,0.088823003,0.020415736,0.109238739,0.004131115,0.002784806,0.006683145
62,A,3.9,4.966666667,0.157795175,0.040799319,0.198594494,0.009130133,0.001941378,0.010785774
63,A,4.8,4.466666667,0.156611011,0.044441882,0.201052893,0.005850216,0.006484086,0.011429285
64,A,4.9,4.2,0.173934595,0.049282523,0.223217117,0.003127708,0.001403508,0.004512895
65,A,5.9,5.85,0.521183884,0.136704424,0.657888308,0.003560751,0.001979686,0.005306653
66,A,4.8,4.833333333,0.435973033,0.119562883,0.555535916,0.012148902,0.004798383,0.016883056
67,A,4.5,4.7,0.440694138,0.11866573,0.559359868,0.003003148,0.003846,0.005756882
68,A,6,5.8,0.552647227,0.151660741,0.704307968,0.015861699,0.00657125,0.021407045
69,A,5.4,4.966666667,0.131037878,0.039172052,0.17020993,0.007440771,0.003364247,0.010653148
70,A,3.9,4.4,0.174415135,0.051484925,0.22590006,0.005692404,0.000317494,0.005523521
71,A,5.6,5.2,0.187120024,0.077738138,0.264858162,0.03926891,0.017010767,0.02275915
72,A,5.8,5.266666667,0.145568589,0.037521081,0.18308967,0.001574509,0.000269641,0.001360467
73,A,5.1,5.666666667,0.704673594,0.136346026,0.84101962,0.014644662,0.074766116,0.064773758
74,A,4.3,5,0.388436056,0.138866987,0.527303043,0.083004544,0.04080597,0.042779798
75,A,4.7,5.166666667,0.470234354,0.12779027,0.598024625,0.007526816,0.002388442,0.008070806
76,A,4.4,4.3,0.446974334,0.119563403,0.566537738,0.00318818,0.000423192,0.003136374
77,A,6,5.566666667,0.429737257,0.110336897,0.540074154,0.008010168,0.002789906,0.009293728
78,A,5.7,5.2,0.117963123,0.029682402,0.147645526,0.002037658,0.000128432,0.002163683
79,A,4.5,4.3,0.168592122,0.039419239,0.208011361,0.011896925,0.005115485,0.017005281
80,A,4.8,5.133333333,0.358491231,0.38611039,0.744601622,0.053772258,0.51386984,0.460245547
81,A,5.8,5.666666667,0.566963524,0.150192593,0.717156116,0.001688828,0.004536019,0.002939898
82,A,5.3,5.333333333,0.5437204,0.147403644,0.691124044,0.007653532,0.001239981,0.008890897
83,A,5.4,5.066666667,0.476510931,0.13409982,0.610610751,0.00380981,0.001339028,0.004844816
84,A,5.8,6.6,0.578322903,0.148892693,0.727215596,0.006953864,0.006852882,0.013432185
85,A,5.9,5.733333333,0.484507407,0.130557077,0.615064484,0.003593397,0.003010692,0.005474586
86,A,4.7,4.833333333,0.452044184,0.133960881,0.586005065,0.00482426,0.001626553,0.006330568
87,A,5,4.933333333,0.584179179,0.174623023,0.758802202,0.006661009,0.005900002,0.012475408
88,A,5,5.2,0.587354314,0.173128488,0.760482803,0.00489048,0.003569862,0.008106412
89,A,5.3,5.766666667,0.690266947,0.190683403,0.88095035,0.008344076,0.00492665,0.013266097
90,A,5.8,5.366666667,0.758724985,0.238829189,0.997554174,0.013687989,0.006339174,0.020020691
91,A,5.4,5.366666667,0.638985105,0.165975495,0.804960601,0.008344355,0.004941984,0.013126882
92,A,5.5,5.633333333,0.740159219,0.225272913,0.965432132,0.004570348,0.00238025,0.005563732
93,A,4.6,4.833333333,0.372754823,0.112896024,0.485650847,0.003389819,0.003363454,0.005976644
94,A,5.2,5.066666667,0.382623564,0.108154915,0.490778478,0.009575229,0.002720173,0.01120245
95,A,5.7,5.433333333,0.436941421,0.115928088,0.55286951,0.008192975,0.002941588,0.011039704
96,A,5.4,5.3,0.434881101,0.121188428,0.55606953,0.007155135,0.000978969,0.007638698
97,A,7.3,7.333333333,0.64656987,0.213160801,0.859730671,0.005891936,0.003167884,0.008842434
98,A,4.5,4.866666667,0.58201045,0.156964084,0.738974535,0.017955666,0.002408704,0.020167187
99,A,6,5.7,0.634508448,0.154389229,0.788897678,0.016040584,0.006223798,0.022259168
100,A,5.7,6,0.679164284,0.217647407,0.896811692,0.007973256,0.006224085,0.013272576