Chlorophyll a (ug/ml),Chlorophyll b (ug/ml),Total Chlorophyll (ug/ml)
-0.001994847,0.006496072,0.004501225
-0.011888541,-0.016786811,-0.028675351
0.006970559,-0.001428252,0.005542306
0.003752721,0.00355445,0.007307171
0.003160108,0.008164541,0.011324649
-0.007077874,-0.009432577,-0.01651045
0.006183027,0.006034811,0.012217838
0.00686627,0.005732108,0.012598378
5.58E-05,-0.003107532,-0.003051712
-0.006027243,0.000773189,-0.005254054
0.003734631,0.010044252,0.013778883
-0.009550775,-0.008574126,-0.018124901
-0.015024108,-0.014449081,-0.029473189
-0.004417802,0.004961009,0.000543207
0.025258054,0.008017946,0.033276
-0.012392865,0.013869405,0.001476541
-0.029077369,-0.008381045,-0.037458414
-0.004551604,-0.013713658,-0.018265261
0.017454342,0.002226883,0.019681225
0.028567495,0.005998414,0.03456591
0.030763207,0.01063791,0.041401117
0.024888252,0.004545658,0.02943391
0.000318342,-0.003144793,-0.00282645
-0.007180216,-0.004960649,-0.012140865
-0.048789586,-0.007078126,-0.055867712
0.006255928,-0.009569586,-0.003313658
0.030159892,0.030034378,0.06019427
0.024424396,-0.002204901,0.022219495
0.00411809,0.002048793,0.006166883
-0.064958306,-0.020308685,-0.085266991
-0.030511964,-0.013594883,-0.044106847
0.01042155,-0.002878126,0.007543423
0.015823892,0.008561514,0.024385405
0.021919207,0.006256288,0.028175495
-0.017652685,0.001655207,-0.015997477
0.002815712,-0.008203532,-0.00538782
0.016441477,0.002754667,0.019196144
-0.00139636,0.001171964,-0.000224396
0.001721117,0.005324036,0.007045153
-0.019581946,-0.001047135,-0.020629081
-0.03335755,-0.004824793,-0.038182342
0.004600468,-0.009389477,-0.004789009
0.009390559,-0.00321182,0.006178739
0.009625694,0.004983856,0.01460955
0.009740829,0.012442234,0.022183063
-0.006614955,0.006013477,-0.000601477
-0.028160541,-0.016849946,-0.045010486
0.005965045,4.48E-05,0.006009874
0.007691532,0.001651315,0.009342847
0.021118919,0.009140324,0.030259243
-0.03818245,-0.018417369,-0.05659982
-0.010561189,-0.007731243,-0.018292432
0.020197189,0.016979027,0.037176216
0.030548721,0.018321369,0.04887009
-0.00200227,-0.009151784,-0.011154054
-0.036806631,-0.013414631,-0.050221261
-0.066188613,-0.015416072,-0.081604685
0.028956432,0.016339243,0.045295676
0.026196432,-0.000618595,0.025577838
0.047842378,0.013110054,0.060952432
0.027504324,0.035321297,0.062825622
0.015303784,0.016617514,0.031921297
-0.016446486,-0.025438703,-0.041885189
-0.00622955,-0.004670414,-0.010899964
-0.020132072,-0.021829694,-0.041961766
0.009040937,0.013542775,0.022583712
0.009481658,-0.00325218,0.006229477
-0.003962847,-0.005595604,-0.00955845
-0.002260865,-0.007140108,-0.009400973
-0.012298883,0.002445117,-0.009853766
0.002992577,0.002784577,0.005777153
0.022912036,0.014906739,0.037818775
0.010400505,0.000293045,0.01069355
-0.002468505,-0.001514883,-0.003983387
-0.033836613,-0.016469477,-0.05030609
-0.061094811,0.000428757,-0.060666054
-0.036329045,-0.003429261,-0.039758306
0.003169333,-0.008281153,-0.00511182
0.073443207,0.00643164,0.079874847
0.020811315,0.004850018,0.025661333
-0.078547676,-0.100053189,-0.178600865
0.008935207,0.026395099,0.035330306
0.028619712,0.067077982,0.095697694
0.043873946,0.067038703,0.110912649
-0.002881189,-0.060458595,-0.063339784
0.011262486,-0.006412541,0.004849946
-0.008032468,-0.011697225,-0.019729694
0.029641766,0.042753225,0.072394991
0.022417261,-0.004635604,0.017781658
-0.055289045,-0.020007856,-0.075296901
-0.007007784,0.001049514,-0.00595827
0.009331315,0.000924829,0.010256144
0.000681766,-0.001962018,-0.001280252
0.000801766,-0.001224721,-0.000422955
-0.003807063,0.001212396,-0.002594667
0.002166811,0.003861838,0.006028649
0.004796901,-0.003231856,0.001565045
0.00062645,0.004149045,0.004775495
-0.006436252,-0.007740685,-0.014176937
-0.00115391,0.002961658,0.001807748
-0.009303928,-0.009157766,-0.018461694
-0.001403748,-0.007124613,-0.00852836
0.007211568,0.006053405,0.013264973
0.006880937,0.000271423,0.00715236
-0.003384829,0.00995755,0.006572721
-0.015832216,-0.008162595,-0.023994811
-0.00042609,0.003982991,0.003556901
0.004535351,-0.004538811,-3.46E-06
0.014127784,0.009392,0.023519784
-0.002404829,-0.000673586,-0.003078414
-0.033036757,-0.007654486,-0.040691243
-0.002305405,-0.001112865,-0.00341827
0.009483604,-0.005940613,0.003542991
-0.010014595,-0.007973405,-0.017988
0.035873153,0.022681369,0.058554523
-0.017786414,-0.002316901,-0.020103315
0.033378631,0.009004901,0.042383532
0.023308721,0.007142559,0.030451279
-0.021168396,-0.011094559,-0.032262955
-0.017732541,-0.002736,-0.020468541
-0.005714739,0.005693694,-2.10E-05
-0.002803027,-0.00192,-0.004723027
-2.10E-05,0.003171171,0.003150126
-0.001172036,0.00210018,0.000928144
0.009710847,-0.009045045,0.000665802
-0.011212108,-0.00768,-0.018892108
-0.004690667,-0.006616937,-0.011307604
0.010690955,0.002377658,0.013068613
0.013472937,0.007468829,0.020941766
-0.008261117,0.00445045,-0.003810667
-0.049930342,-0.018587748,-0.06851809
0.012529117,0.00512036,0.017649477
0.03853164,0.013361802,0.051893441
-0.013564036,-0.007428468,-0.020992505
0.012433622,0.007534054,0.019967676
0.006843784,0.014595243,0.021439027
-0.005163243,0.00608173,0.000918486
0.02282036,-0.002758991,0.020061369
-0.000454054,-0.005490162,-0.005944216
-0.024046847,-0.01242782,-0.036474667
-0.018179748,-0.010284396,-0.028464144
0.021548901,-0.000219532,0.021329369
-0.017136505,-0.008375207,-0.025511712
0.03811827,0.014572541,0.052690811
-0.024350919,0.004306595,-0.020044324
-0.057435748,-0.018345369,-0.075781117
-0.012838631,0.000629045,-0.012209586
-0.005570342,-0.012471856,-0.018042198
0.036839928,0.011818955,0.048658883
0.039004793,0.018369225,0.057374018
0.004842486,0.004099243,0.00894173
0.005949333,-0.007852829,-0.001903495
-0.002026703,0.002399784,0.000373081
-0.003927063,0.000475099,-0.003451964
-0.004838054,0.000878703,-0.003959351
0.004729333,0.001303712,0.006033045
0.004609333,0.000566414,0.005175748
0.001300865,0.00124173,0.002542595
-0.004735712,-0.003593225,-0.008328937
-0.00590382,0.000481369,-0.00542245
-0.035215315,-0.010088288,-0.045303604
-0.017419099,-0.006510991,-0.02393009
0.034784324,0.013441081,0.048225405
0.027944505,0.008171532,0.036116036
-0.010094414,-0.005013333,-0.015107748
0.038512505,0.006493261,0.045005766
-0.023790198,-0.011751063,-0.035541261
-0.016134883,-0.004471423,-0.020606306
0.064696288,0.023349477,0.088045766
-0.063283712,-0.013620252,-0.076903964
-0.057369153,-0.021536721,-0.078905874
-0.013989153,-0.004789694,-0.018778847
0.013710486,0.008628324,0.022338811
0.037224901,0.01283409,0.050058991
0.020422919,0.004864,0.025286919
-0.013719243,0.003469622,-0.010249622
0.002301477,-0.00086155,0.001439928
-0.00765582,-0.010283171,-0.017938991
-0.001822486,-0.002196324,-0.004018811
0.020896072,0.009871423,0.030767495
0.012464216,0.054078703,0.066542919
-0.03244173,-0.019300757,-0.051742486
0.012351243,-0.011874811,0.000476432
0.005829802,-0.012937874,-0.007108072
0.001796468,-0.009965261,-0.008168793
0.014652793,0.001966198,0.016618991
0.022499099,0.00441845,0.02691755
0.005398378,0.002113946,0.007512324
-0.023001622,-0.005855784,-0.028857405
-0.019548649,-0.002642811,-0.022191459
-0.030778378,-0.008180757,-0.038959135
-0.02063009,-0.003586523,-0.024216613
0.043403964,0.009543207,0.052947171
0.039292252,0.009783928,0.04907618
-0.031287748,-0.007559856,-0.038847604
-0.01849564,-0.006824505,-0.025320144
-0.018943748,0.001673874,-0.017269874
0.046096793,0.011986306,0.058083099
0.007254631,-0.001633153,0.005621477
-0.015912036,-0.005202523,-0.021114559
0.004241514,0.001756973,0.005998486
0.001214667,0.001912288,0.003126955
0.001430162,0.000235892,0.001666054
-0.001513441,-0.003597982,-0.005111423
-0.005372901,-0.000307171,-0.005680072
0.023466162,0.05236627,0.075832432
0.020855351,-0.004180757,0.016674595
0.019434991,-0.003156252,0.016278739
0.010773189,-0.007618595,0.003154595
-0.074529694,-0.037410667,-0.11194036
0.272492901,0.542472793,
-0.054282595,-0.130090811,-0.184373405
-0.070149081,-0.135313514,-0.205462595
-0.060720793,-0.135143063,-0.195863856
-0.087340432,-0.141925405,-0.229265838
-0.018956036,-0.007252901,-0.026208937
0.001920901,-0.004250018,-0.002329117
0.011116577,0.002742414,0.013858991
0.005986126,0.004224937,0.010211063
-6.76E-05,0.004535568,0.004468
-0.03723236,-0.035833225,-0.073065586
0.053930883,0.020214342,0.074145225
0.006522414,-0.000281153,0.006241261
0.012272505,0.011794883,0.024067387
-0.035493441,0.004105153,-0.031388288
-0.011642126,-0.005671423,-0.01731355
-0.008627532,-0.007402234,-0.016029766
-0.009580144,-0.005004036,-0.01458418
0.02927427,0.010190919,0.039465189
0.000575532,0.007886775,0.008462306
-0.013561117,-0.011461117,-0.025022234
-0.02386364,-0.006501477,-0.030365117
-0.007384901,0.003983207,-0.003401694
0.040562306,0.020287712,0.060850018
0.004247351,-0.006308324,-0.002060973
-0.004103892,-0.00316173,-0.007265622
0.028792324,0.009930162,0.038722486
0.001692685,0.000198631,0.001891315
-0.012675063,-0.003316685,-0.015991748
-0.013706054,-0.003650378,-0.017356432
-0.020934378,-0.030959784,-0.051894162
0.028247423,0.055939315,0.084186739
0.005682919,-0.002438703,0.003244216
-0.017956541,-0.037417081,-0.055373622
0.004960577,0.014876252,0.019836829
-0.005129441,0.007489586,0.002360144
0.004171459,-0.001373838,0.002797622
0.007078306,-0.00226645,0.004811856
-0.001509982,0.00272418,0.001214198
-0.004610342,-0.006573477,-0.01118382
-0.035279495,-0.013933117,-0.049212613
-0.014018054,-0.005567351,-0.019585405
-0.015132288,-0.001911856,-0.017044144
0.034727532,0.017892829,0.05262036
0.029702306,0.003519495,0.033221802
0.03833218,0.089097369,0.12742955
0.009314523,-0.02768245,-0.018367928
-0.000794486,-0.012532541,-0.013327027
0.009407676,-0.008357405,0.00105027
-0.056259892,-0.040524973,-0.096784865
-0.054207712,-0.041117982,-0.095325694
0.001514991,0.019959856,0.021474847
0.048705441,0.02711409,0.075819532
-0.013411315,-0.025992937,-0.039404252
0.017398595,0.020036973,0.037435568
-0.071498883,-0.028240288,-0.099739171
-0.017037622,-0.019169297,-0.036206919
0.020435712,0.016794306,0.037230018
0.017810306,-0.019589477,-0.001779171
0.050290486,0.050204757,0.100495243
-0.014274775,-0.020946667,-0.035221441
0.003668468,0.001536577,0.005205045
0.018332613,0.021125045,0.039457658
-0.007682342,-0.025448288,-0.033130631
-4.40E-05,0.023733333,0.023689369
0.022115063,-0.00529218,0.016822883
0.019911099,0.005169802,0.025080901
-0.002868721,-0.014775423,-0.017644144
-0.015069081,0.003277189,-0.011791892
-0.02408836,0.011620613,-0.012467748
-0.031970523,-0.011604901,-0.043575423
0.011483171,0.051351495,0.062834667
-0.001929802,-0.013057153,-0.014986955
-0.005341153,-0.018264721,-0.023605874
0.027758306,-0.008424721,0.019333586
0.005701766,0.045533982,0.051235748
0.023598342,0.039976505,0.063574847
-0.020171387,-0.048925117,-0.069096505
0.032759604,0.020503712,0.053263315
-0.041888324,-0.057089081,-0.098977405
-0.015554811,0.030447135,0.014892324
-0.007145441,-0.004897009,-0.01204245
-0.00492436,-0.020504577,-0.025428937
0.005405189,-0.007295568,-0.001890378
0.022219423,0.002250018,0.024469441
0.003911099,0.040082667,0.043993766
0.012915604,0.01514609,0.028061694
-0.010219532,-0.050488505,-0.060708036
-0.020355027,0.056761946,0.036406919
0.013747856,-0.061502198,-0.047754342